sheet,row,story,test,file
Install Success Opt1-4,36,STRY0086298,IS48,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,37,STRY0086298,IS49,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,38,STRY0086298,IS50,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,39,STRY0086298,IS51,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,40,STRY0086298,IS52,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,41,STRY0086404,IS53,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,42,STRY0086404,IS54,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,43,STRY0086404,IS55,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,44,STRY0086404,IS56,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,45,STRY0086404,IS57,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,46,STRY0086404,IS58,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,47,STRY0087287,IS13,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,48,STRY0087287,IS14,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,49,STRY0087287,IS15,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,50,STRY0087287,IS16,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,51,STRY0087287,IS17,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,52,STRY0087287,IS18,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,53,STRY0087291,IS19,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,54,STRY0087291,IS20,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,55,STRY0087291,IS21,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,56,STRY0087291,IS22,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,57,STRY0087291,IS23,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,58,STRY0087294,IS24,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,59,STRY0087295,IS25,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,60,STRY0087295,IS26,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,61,STRY0087295,IS27,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,62,STRY0087295,IS28,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,63,STRY0087295,IS29,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,64,STRY0087296,IS30,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,65,STRY0089373,IS59,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,66,STRY0089394,IS61,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,67,STRY0089394,IS62,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,68,STRY0089394,IS63,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,69,STRY0089397,IS69,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,70,STRY0089397,IS70,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,71,STRY0089397,IS71,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,72,STRY0089398,IS67,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,73,STRY0089399,IS84,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,74,STRY0089399,IS85,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,75,STRY0089399,IS86,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,76,STRY0089399,IS87,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,77,STRY0089399,IS88,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,78,STRY0089399,IS89,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,79,STRY0089400,IS90,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,80,STRY0089400,IS91,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,81,STRY0089401,IS94,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,82,STRY0089401,IS95,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,83,STRY0089401,IS96,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,84,STRY0089402,IS97,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,85,STRY0089402,IS98,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,86,STRY0089402,IS99,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,87,STRY0089403,IS106,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,88,STRY0089404,IS144,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,89,STRY0089404,IS145,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,90,STRY0089404,IS146,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,91,STRY0089404,IS147,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,92,STRY0089404,IS148,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,93,STRY0089404,IS149,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,94,STRY0089405,IS108,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,95,STRY0089405,IS109,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,96,STRY0089405,IS110,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,97,STRY0089405,IS111,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,98,STRY0089405,IS112,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,99,STRY0089405,IS113,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,100,STRY0089405,IS114,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,101,STRY0089405,IS115,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,102,STRY0089405,IS116,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,103,STRY0089406,IS118,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,104,STRY0089406,IS119,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,105,STRY0089406,IS121,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,106,STRY0089406,IS122,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,107,STRY0089406,IS124,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,108,STRY0089406,IS125,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,109,STRY0089406,IS127,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,110,STRY0089406,IS128,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,111,STRY0089406,IS130,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,112,STRY0089406,IS131,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,113,STRY0089406,IS117,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,114,STRY0089406,IS120,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,115,STRY0089406,IS123,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,116,STRY0089406,IS126,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,117,STRY0089406,IS129,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,118,STRY0089869,IS60,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,119,STRY0089871,IS64,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,120,STRY0089871,IS65,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,121,STRY0089871,IS66,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,122,STRY0089872,IS68,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,123,STRY0089875,IS72,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,124,STRY0089875,IS75,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,125,STRY0089875,IS76,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,126,STRY0089875,IS77,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,127,STRY0089880,IS100,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,128,STRY0089880,IS101,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,129,STRY0089880,IS102,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,130,STRY0089980,IS107,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,131,STRY0089981,IS103,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,132,STRY0089981,IS104,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,133,STRY0089981,IS105,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,134,STRY0089982,IS132,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,135,STRY0089982,IS133,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,136,STRY0089982,IS134,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,137,STRY0089982,IS135,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,138,STRY0089982,IS136,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,139,STRY0089982,IS137,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,140,STRY0089982,IS138,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,141,STRY0089982,IS139,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,142,STRY0089982,IS140,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,143,STRY0089983,IS141,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,144,STRY0089983,IS142,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,145,STRY0089983,IS143,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,146,STRY0089984,IS150,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,147,STRY0089984,IS151,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,148,STRY0089984,IS152,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,149,STRY0089984,IS153,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,150,STRY0090030,IS78,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,151,STRY0090030,IS79,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,152,STRY0090030,IS80,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,153,STRY0090030,IS81,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,154,STRY0090030,IS82,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,155,STRY0090030,IS83,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,156,STRY0090031,IS92,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,157,STRY0090031,IS93,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,158,STRY0090083,IS154,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,159,STRY0090085,IS155,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,160,STRY0090085,IS156,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,161,,IS73,24.03.2026 release Test Execution v0.2.xlsx
Install Success Opt1-4,162,,IS74,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,0,STRY0072638,KP01,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,1,STRY0086778,KP02,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,2,STRY0088560,KP03,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,3,STRY0088560,KP04,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,4,STRY0089991,KP05,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,5,STRY0089991,KP06,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,6,STRY0089991,KP07,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,7,STRY0089991,KP08,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,8,STRY0089991,KP09,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,9,STRY0086890,KP10,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,10,,KP11,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,11,,KP12,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,12,,KP13,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,13,,KP14,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,14,,KP15,24.03.2026 release Test Execution v0.2.xlsx
KPI Enhancements,15,STRY0086778,KP16,24.03.2026 release Test Execution v0.2.xlsx
